        cher_lg_Tank  |                root  |                          tank  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | FF9900   |            Polycone  |0*deg 360*deg 4 65*cm 67*cm 67*cm 85*cm 144*cm 155*cm 265*cm 265*cm 194*cm 209.01*cm 209.01*cm 301*cm  |    SL_LGCCgas_SIDIS  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 cher_lg_PMT_30_1_22  |        cher_lg_Tank  |          PMT number 1 0 0 2 5  |                   60.533*cm 230.488*cm 236.163*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 22 
 cher_lg_PMT_30_1_23  |        cher_lg_Tank  |          PMT number 1 0 0 2 6  |                   60.615*cm 230.772*cm 236.742*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 23 
 cher_lg_PMT_30_1_24  |        cher_lg_Tank  |          PMT number 1 0 0 2 7  |                   60.697*cm 231.055*cm 237.321*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 24 
 cher_lg_PMT_30_1_25  |        cher_lg_Tank  |          PMT number 1 0 0 3 0  |                   60.745*cm 228.890*cm 233.267*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 25 
 cher_lg_PMT_30_1_26  |        cher_lg_Tank  |          PMT number 1 0 0 3 1  |                   60.828*cm 229.173*cm 233.846*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 26 
 cher_lg_PMT_30_1_27  |        cher_lg_Tank  |          PMT number 1 0 0 3 2  |                   60.910*cm 229.457*cm 234.425*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 27 
 cher_lg_PMT_30_1_28  |        cher_lg_Tank  |          PMT number 1 0 0 3 3  |                   60.992*cm 229.740*cm 235.005*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 28 
 cher_lg_PMT_30_1_29  |        cher_lg_Tank  |          PMT number 1 0 0 3 4  |                   61.075*cm 230.023*cm 235.584*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 29 
 cher_lg_PMT_30_1_30  |        cher_lg_Tank  |          PMT number 1 0 0 3 5  |                   61.157*cm 230.307*cm 236.163*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 30 
 cher_lg_PMT_30_1_31  |        cher_lg_Tank  |          PMT number 1 0 0 3 6  |                   61.239*cm 230.590*cm 236.742*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 31 
