<mfield>
       <description name="solenoid_ptarget" factory="ASCII" comment="solenoid_ptarget"/>
       <symmetry type="cylindrical-x" format="map" integration="RungeKutta" minStep="1*mm"/>
       <map>
               <coordinate>
                       <first  name="transverse" npoints="200"   min="0"  max="199"  units="cm"/>
                       <second name="longitudinal"   npoints="401"  min="-200" max="200"  units="cm"/>
               </coordinate>
               <field unit="gauss"/>
               <interpolation type="none"/>
               <shift z="-350" units="cm"/>
       </map>
</mfield>
0.000 57.000 -1.6 1038.1
0.000 58.000 -1.5 987.3
0.000 59.000 -1.3 939.6
0.000 60.000 -1.2 894.9
0.000 61.000 -1.2 852.9
0.000 62.000 -1.1 813.4
0.000 63.000 -1 776.2
0.000 64.000 -0.9 741.3
0.000 65.000 -0.9 708.3
0.000 66.000 -0.8 677.3
0.000 67.000 -0.8 648
0.000 68.000 -0.7 620.3
0.000 69.000 -0.7 594.2
0.000 70.000 -0.6 569.5
0.000 71.000 -0.6 546.2
0.000 72.000 -0.6 524.1
0.000 73.000 -0.5 503.1
0.000 74.000 -0.5 483.2
0.000 75.000 -0.5 464.4
0.000 76.000 -0.4 446.5
0.000 77.000 -0.4 429.5
0.000 78.000 -0.4 413.4
0.000 79.000 -0.4 398.1
0.000 80.000 -0.3 383.4
0.000 81.000 -0.3 369.5
0.000 82.000 -0.3 356.3
0.000 83.000 -0.3 343.7
0.000 84.000 -0.3 331.7
0.000 85.000 -0.3 320.2
0.000 86.000 -0.3 309.2
0.000 87.000 -0.2 298.7
0.000 88.000 -0.2 288.7
0.000 89.000 -0.2 279.2
0.000 90.000 -0.2 270
0.000 91.000 -0.2 261.3
0.000 92.000 -0.2 252.9
0.000 93.000 -0.2 244.9
0.000 94.000 -0.2 237.2
0.000 95.000 -0.2 229.8
0.000 96.000 -0.2 222.7
0.000 97.000 -0.2 215.9
0.000 98.000 -0.1 209.4
0.000 99.000 -0.1 203.2
0.000 100.000 -0.1 197.1
0.000 101.000 -0.1 191.4
0.000 102.000 -0.1 185.8
0.000 103.000 -0.1 180.5
0.000 104.000 -0.1 175.3
0.000 105.000 -0.1 170.4
0.000 106.000 -0.1 165.6
0.000 107.000 -0.1 161
0.000 108.000 -0.1 156.6
0.000 109.000 -0.1 152.4
0.000 110.000 -0.1 148.3
0.000 111.000 -0.1 144.3
0.000 112.000 -0.1 140.5
0.000 113.000 -0.1 136.8
