solid_PVDIS_ec_forwardangle_real_layer_35  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_35  |                                  0*cm 0*cm -14*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_36  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_36  |                              0*cm 0*cm -13.776*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_37  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_37  |                              0*cm 0*cm -13.552*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_38  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_38  |                              0*cm 0*cm -13.328*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_39  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_39  |                              0*cm 0*cm -13.104*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_40  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_40  |                               0*cm 0*cm -12.88*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_41  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_41  |                              0*cm 0*cm -12.656*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_42  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_42  |                              0*cm 0*cm -12.432*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_43  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_43  |                              0*cm 0*cm -12.208*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_44  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_44  |                              0*cm 0*cm -11.984*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
