solid_SIDIS_ec_largeangle_showe424_gapback7  |solid_SIDIS_ec_largeangle_showe424  |solid_SIDIS_ec_largeangle_showe424_gapback7  |                              0*cm 0*cm -20.166*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_SIDIS_ec_largeangle_showe424_gapback1  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.006*cm 0.006*cm  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_largeangle_showe424_lead8  |solid_SIDIS_ec_largeangle_showe424  |solid_SIDIS_ec_largeangle_showe424_lead8  |                              0*cm 0*cm -20.135*cm  |                       0*deg 0*deg 0*deg  | 0000ff   |CopyOf solid_SIDIS_ec_largeangle_showe424_lead1  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.006*cm 0.006*cm  |               G4_Pb  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_largeangle_showe424_gapfront8  |solid_SIDIS_ec_largeangle_showe424  |solid_SIDIS_ec_largeangle_showe424_gapfront8  |                              0*cm 0*cm -20.104*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_SIDIS_ec_largeangle_showe424_gapfront1  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.006*cm 0.006*cm  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_largeangle_showe424_gapback8  |solid_SIDIS_ec_largeangle_showe424  |solid_SIDIS_ec_largeangle_showe424_gapback8  |                              0*cm 0*cm -19.942*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_SIDIS_ec_largeangle_showe424_gapback1  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.006*cm 0.006*cm  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_largeangle_showe424_lead9  |solid_SIDIS_ec_largeangle_showe424  |solid_SIDIS_ec_largeangle_showe424_lead9  |                              0*cm 0*cm -19.911*cm  |                       0*deg 0*deg 0*deg  | 0000ff   |CopyOf solid_SIDIS_ec_largeangle_showe424_lead1  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.006*cm 0.006*cm  |               G4_Pb  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_largeangle_showe424_gapfront9  |solid_SIDIS_ec_largeangle_showe424  |solid_SIDIS_ec_largeangle_showe424_gapfront9  |                               0*cm 0*cm -19.88*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_SIDIS_ec_largeangle_showe424_gapfront1  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.006*cm 0.006*cm  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_largeangle_showe424_gapback9  |solid_SIDIS_ec_largeangle_showe424  |solid_SIDIS_ec_largeangle_showe424_gapback9  |                              0*cm 0*cm -19.718*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_SIDIS_ec_largeangle_showe424_gapback1  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.006*cm 0.006*cm  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_largeangle_showe424_lead10  |solid_SIDIS_ec_largeangle_showe424  |solid_SIDIS_ec_largeangle_showe424_lead10  |                              0*cm 0*cm -19.687*cm  |                       0*deg 0*deg 0*deg  | 0000ff   |CopyOf solid_SIDIS_ec_largeangle_showe424_lead1  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.006*cm 0.006*cm  |               G4_Pb  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_largeangle_showe424_gapfront10  |solid_SIDIS_ec_largeangle_showe424  |solid_SIDIS_ec_largeangle_showe424_gapfront10  |                              0*cm 0*cm -19.656*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_SIDIS_ec_largeangle_showe424_gapfront1  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.006*cm 0.006*cm  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_largeangle_showe424_gapback10  |solid_SIDIS_ec_largeangle_showe424  |solid_SIDIS_ec_largeangle_showe424_gapback10  |                              0*cm 0*cm -19.494*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_SIDIS_ec_largeangle_showe424_gapback1  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.006*cm 0.006*cm  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
