solid_PVDIS_baffle_babarbafflemore1_kill_plateinner5  |                root  |solid_PVDIS_baffle_babarbafflemore1_kill_plateinner5  |                                   0*cm 0*cm 96*cm  |                       0*deg 0*deg 0*deg  | 00C0C0   |                Tube  |                          24*cm 26.6*cm 4.5*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plateinner6  |                root  |solid_PVDIS_baffle_babarbafflemore1_kill_plateinner6  |                                  0*cm 0*cm 110*cm  |                       0*deg 0*deg 0*deg  | 00C0C0   |                Tube  |                      30.45*cm 32.22*cm 4.5*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plateinner7  |                root  |solid_PVDIS_baffle_babarbafflemore1_kill_plateinner7  |                                  0*cm 0*cm 124*cm  |                       0*deg 0*deg 0*deg  | 00C0C0   |                Tube  |                        35.9*cm 37.9*cm 4.5*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plateinner8  |                root  |solid_PVDIS_baffle_babarbafflemore1_kill_plateinner8  |                                  0*cm 0*cm 138*cm  |                       0*deg 0*deg 0*deg  | 00C0C0   |                Tube  |                       41.4*cm 43.52*cm 4.5*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plateinner9  |                root  |solid_PVDIS_baffle_babarbafflemore1_kill_plateinner9  |                                  0*cm 0*cm 152*cm  |                       0*deg 0*deg 0*deg  | 00C0C0   |                Tube  |                        47.9*cm 49.2*cm 4.5*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plateinner10  |                root  |solid_PVDIS_baffle_babarbafflemore1_kill_plateinner10  |                                  0*cm 0*cm 166*cm  |                       0*deg 0*deg 0*deg  | 00C0C0   |                Tube  |                      52.35*cm 54.82*cm 4.5*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plateinner11  |                root  |solid_PVDIS_baffle_babarbafflemore1_kill_plateinner11  |                                  0*cm 0*cm 180*cm  |                       0*deg 0*deg 0*deg  | 00C0C0   |                Tube  |                        58.8*cm 60.4*cm 4.5*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plateouter1  |                root  |solid_PVDIS_baffle_babarbafflemore1_kill_plateouter1  |                                   0*cm 0*cm 40*cm  |                       0*deg 0*deg 0*deg  | 00C0C0   |                Tube  |                          34.7*cm 42*cm 4.5*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plateouter2  |                root  |solid_PVDIS_baffle_babarbafflemore1_kill_plateouter2  |                                   0*cm 0*cm 54*cm  |                       0*deg 0*deg 0*deg  | 00C0C0   |                Tube  |                         44.54*cm 52*cm 4.5*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plateouter3  |                root  |solid_PVDIS_baffle_babarbafflemore1_kill_plateouter3  |                                   0*cm 0*cm 68*cm  |                       0*deg 0*deg 0*deg  | 00C0C0   |                Tube  |                          54.3*cm 62*cm 4.5*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plateouter4  |                root  |solid_PVDIS_baffle_babarbafflemore1_kill_plateouter4  |                                   0*cm 0*cm 82*cm  |                       0*deg 0*deg 0*deg  | 00C0C0   |                Tube  |                         64.01*cm 72*cm 4.5*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plateouter5  |                root  |solid_PVDIS_baffle_babarbafflemore1_kill_plateouter5  |                                   0*cm 0*cm 96*cm  |                       0*deg 0*deg 0*deg  | 00C0C0   |                Tube  |                          73.8*cm 82*cm 4.5*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plateouter6  |                root  |solid_PVDIS_baffle_babarbafflemore1_kill_plateouter6  |                                  0*cm 0*cm 110*cm  |                       0*deg 0*deg 0*deg  | 00C0C0   |                Tube  |                         83.48*cm 92*cm 4.5*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plateouter7  |                root  |solid_PVDIS_baffle_babarbafflemore1_kill_plateouter7  |                                  0*cm 0*cm 124*cm  |                       0*deg 0*deg 0*deg  | 00C0C0   |                Tube  |                         93.3*cm 102*cm 4.5*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plateouter8  |                root  |solid_PVDIS_baffle_babarbafflemore1_kill_plateouter8  |                                  0*cm 0*cm 138*cm  |                       0*deg 0*deg 0*deg  | 00C0C0   |                Tube  |                       102.95*cm 112*cm 4.5*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plateouter9  |                root  |solid_PVDIS_baffle_babarbafflemore1_kill_plateouter9  |                                  0*cm 0*cm 152*cm  |                       0*deg 0*deg 0*deg  | 00C0C0   |                Tube  |                        112.8*cm 120*cm 4.5*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plateouter10  |                root  |solid_PVDIS_baffle_babarbafflemore1_kill_plateouter10  |                                  0*cm 0*cm 166*cm  |                       0*deg 0*deg 0*deg  | 00C0C0   |                Tube  |                       122.43*cm 132*cm 4.5*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plateouter11  |                root  |solid_PVDIS_baffle_babarbafflemore1_kill_plateouter11  |                                  0*cm 0*cm 180*cm  |                       0*deg 0*deg 0*deg  | 00C0C0   |                Tube  |                          132*cm 140*cm 4.5*cm 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plate1  |                root  |solid_PVDIS_baffle_babarbafflemore1_kill_plate1  |                                   0*cm 0*cm 40*cm  |                       0*deg 0*deg 0*deg  | 000000   |                Tube  |                         3.9*cm 34.7*cm 4.5*cm 0*deg 360*deg  |           SL_Vacuum  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plate2  |                root  |solid_PVDIS_baffle_babarbafflemore1_kill_plate2  |                                   0*cm 0*cm 54*cm  |                       0*deg 0*deg 0*deg  | 000000   |                Tube  |                       9.62*cm 44.54*cm 4.5*cm 0*deg 360*deg  |           SL_Vacuum  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
