   solid_SIDIS_gem_1  |                root  |             solid_SIDIS_gem_1  |                                 0*cm 0*cm -175*cm  |                       0*deg 0*deg 0*deg  | 111111   |                Tube  |                         36*cm 87*cm 4.8905*mm 0*deg 360*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                       id manual 1100000 
solid_SIDIS_gem_1_2_3  |   solid_SIDIS_gem_1  |         solid_SIDIS_gem_1_2_3  |                               0*cm 0*cm -4.769*mm  |                     0*deg 0*deg -38*deg  | ffse14   |                Tube  |                         36*cm 87*cm 0.0015*mm -5*deg 10*deg  |        SL_gem_NOMEX  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                           id manual 402 
solid_SIDIS_gem_1_2_4  |   solid_SIDIS_gem_1  |         solid_SIDIS_gem_1_2_4  |                               0*cm 0*cm -4.769*mm  |                     0*deg 0*deg -50*deg  | ffse14   |                Tube  |                         36*cm 87*cm 0.0015*mm -5*deg 10*deg  |        SL_gem_NOMEX  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                           id manual 502 
solid_SIDIS_gem_1_2_5  |   solid_SIDIS_gem_1  |         solid_SIDIS_gem_1_2_5  |                               0*cm 0*cm -4.769*mm  |                     0*deg 0*deg -62*deg  | ffse14   |                Tube  |                         36*cm 87*cm 0.0015*mm -5*deg 10*deg  |        SL_gem_NOMEX  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                           id manual 602 
solid_SIDIS_gem_1_2_6  |   solid_SIDIS_gem_1  |         solid_SIDIS_gem_1_2_6  |                               0*cm 0*cm -4.769*mm  |                     0*deg 0*deg -74*deg  | ffse14   |                Tube  |                         36*cm 87*cm 0.0015*mm -5*deg 10*deg  |        SL_gem_NOMEX  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                           id manual 702 
solid_SIDIS_gem_1_2_7  |   solid_SIDIS_gem_1  |         solid_SIDIS_gem_1_2_7  |                               0*cm 0*cm -4.769*mm  |                     0*deg 0*deg -86*deg  | ffse14   |                Tube  |                         36*cm 87*cm 0.0015*mm -5*deg 10*deg  |        SL_gem_NOMEX  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                           id manual 802 
solid_SIDIS_gem_1_2_8  |   solid_SIDIS_gem_1  |         solid_SIDIS_gem_1_2_8  |                               0*cm 0*cm -4.769*mm  |                     0*deg 0*deg -98*deg  | ffse14   |                Tube  |                         36*cm 87*cm 0.0015*mm -5*deg 10*deg  |        SL_gem_NOMEX  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                           id manual 902 
solid_SIDIS_gem_1_2_9  |   solid_SIDIS_gem_1  |         solid_SIDIS_gem_1_2_9  |                               0*cm 0*cm -4.769*mm  |                    0*deg 0*deg -110*deg  | ffse14   |                Tube  |                         36*cm 87*cm 0.0015*mm -5*deg 10*deg  |        SL_gem_NOMEX  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                          id manual 1002 
solid_SIDIS_gem_1_2_10  |   solid_SIDIS_gem_1  |        solid_SIDIS_gem_1_2_10  |                               0*cm 0*cm -4.769*mm  |                    0*deg 0*deg -122*deg  | ffse14   |                Tube  |                         36*cm 87*cm 0.0015*mm -5*deg 10*deg  |        SL_gem_NOMEX  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                          id manual 1102 
solid_SIDIS_gem_1_2_11  |   solid_SIDIS_gem_1  |        solid_SIDIS_gem_1_2_11  |                               0*cm 0*cm -4.769*mm  |                    0*deg 0*deg -134*deg  | ffse14   |                Tube  |                         36*cm 87*cm 0.0015*mm -5*deg 10*deg  |        SL_gem_NOMEX  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                          id manual 1202 
solid_SIDIS_gem_1_2_12  |   solid_SIDIS_gem_1  |        solid_SIDIS_gem_1_2_12  |                               0*cm 0*cm -4.769*mm  |                    0*deg 0*deg -146*deg  | ffse14   |                Tube  |                         36*cm 87*cm 0.0015*mm -5*deg 10*deg  |        SL_gem_NOMEX  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                          id manual 1302 
